collection,seed,kind,rendering,layer,auroc,delta,offdomain_auroc,offdomain_delta,norm_auroc,norm_auroc_raw,random_auroc_median,random_auroc_p95,n_random,base_auroc,auroc_gain
collect_literal,,clean,literal,2,0.4670138888888889,-0.0008261594921350479,0.4947916666666667,-0.00023771263659000397,0.5017361111111112,0.4982638888888889,0.53125,0.5812499999999999,25,,
collect_literal,,clean,literal,3,0.5833333333333334,0.00542721152305603,0.5173611111111112,0.003264009952545166,0.5190972222222222,0.4809027777777778,0.5590277777777778,0.6128472222222222,25,,
collect_literal,,clean,literal,4,0.4930555555555556,0.0002601146697998047,0.5017361111111112,-0.0016553401947021484,0.5364583333333334,0.5364583333333334,0.5555555555555556,0.6680555555555554,25,,
collect_literal,,clean,literal,5,0.5277777777777778,0.004834026098251343,0.5190972222222222,0.005575031042098999,0.6024305555555556,0.3975694444444444,0.5607638888888888,0.6194444444444445,25,,
collect_literal,,clean,literal,6,0.546875,0.006033003330230713,0.4913194444444444,0.0004774928092956543,0.6475694444444444,0.3524305555555556,0.5451388888888888,0.6951388888888888,25,,
collect_literal,,clean,literal,7,0.4635416666666667,-0.005372285842895508,0.515625,-0.0011686980724334717,0.6215277777777778,0.3784722222222222,0.5555555555555556,0.6489583333333333,25,,
collect_literal,,clean,literal,8,0.6875,0.019927263259887695,0.5451388888888888,0.028248906135559082,0.5885416666666667,0.4114583333333333,0.5538194444444444,0.6524305555555555,25,,
collect_literal,,clean,literal,9,0.5989583333333334,0.015876293182373047,0.5451388888888888,0.016499698162078857,0.5815972222222222,0.5815972222222222,0.5694444444444444,0.6937499999999999,25,,
collect_literal,,clean,literal,10,0.625,-0.0647813081741333,0.5173611111111112,-0.07078993320465088,0.5538194444444444,0.5538194444444444,0.5607638888888888,0.704861111111111,25,,
collect_literal,,clean,literal,11,0.6041666666666666,0.054375410079956055,0.5104166666666666,0.015250921249389648,0.5017361111111112,0.5017361111111112,0.5295138888888888,0.6211805555555556,25,,
collect_literal,,clean,literal,12,0.4253472222222222,-0.04724836349487305,0.4965277777777778,-0.051816463470458984,0.5434027777777778,0.4565972222222222,0.6024305555555556,0.6920138888888888,25,,
collect_literal,,clean,literal,13,0.3940972222222222,-0.08083105087280273,0.5347222222222222,0.05137777328491211,0.5381944444444444,0.4618055555555556,0.5711805555555556,0.7118055555555554,25,,
collect_literal,,clean,literal,14,0.3506944444444444,-0.13384246826171875,0.5381944444444444,0.11956501007080078,0.6232638888888888,0.6232638888888888,0.5451388888888888,0.6489583333333332,25,,
collect_literal,,clean,literal,15,0.2847222222222222,-0.23059749603271484,0.4583333333333333,0.009817123413085938,0.5659722222222222,0.5659722222222222,0.5625,0.6986111111111111,25,,
collect_literal,,clean,literal,16,0.2847222222222222,-0.39183521270751953,0.4670138888888889,-0.13854312896728516,0.6145833333333334,0.6145833333333334,0.59375,0.6440972222222221,25,,
collect_literal,,clean,literal,17,0.3350694444444444,-0.2517728805541992,0.5069444444444444,0.018878936767578125,0.7430555555555556,0.7430555555555556,0.5381944444444444,0.6600694444444444,25,,
collect_literal,,clean,literal,18,0.4756944444444444,-0.3885078430175781,0.4791666666666667,-0.20572662353515625,0.6267361111111112,0.6267361111111112,0.5711805555555556,0.7041666666666667,25,,
collect_literal,,clean,literal,19,0.5017361111111112,-0.21339797973632812,0.4652777777777778,-0.5487251281738281,0.6302083333333334,0.6302083333333334,0.578125,0.6875,25,,
collect_literal,,clean,literal,20,0.515625,-0.43297576904296875,0.4704861111111111,-0.468902587890625,0.5798611111111112,0.5798611111111112,0.5538194444444444,0.6472222222222221,25,,
collect_literal,,clean,literal,21,0.5329861111111112,-0.5335235595703125,0.4965277777777778,-0.16558074951171875,0.5225694444444444,0.4774305555555556,0.5555555555555556,0.6194444444444445,25,,
collect_literal,,clean,literal,22,0.4652777777777778,-0.8012933731079102,0.5086805555555556,0.1262359619140625,0.5121527777777778,0.4878472222222222,0.5295138888888888,0.6,25,,
collect_literal,,clean,literal,23,0.4791666666666667,-0.6248397827148438,0.53125,0.7514801025390625,0.5052083333333333,0.4947916666666667,0.5347222222222222,0.5864583333333333,25,,
collect_literal,,clean,literal,24,0.4947916666666667,-1.1451416015625,0.5190972222222222,0.4675445556640625,0.5416666666666666,0.5416666666666666,0.5208333333333334,0.56875,25,,
collect_literal,,clean,literal,25,0.5555555555555556,-0.5306396484375,0.4965277777777778,-0.454071044921875,0.5607638888888888,0.5607638888888888,0.5173611111111112,0.5534722222222223,25,,
collect_literal,,clean,literal,26,0.4878472222222222,-2.23577880859375,0.4930555555555556,-0.71826171875,0.5520833333333334,0.5520833333333334,0.5138888888888888,0.5420138888888889,25,,
collect_literal,,clean,literal,27,0.5399305555555556,-0.70880126953125,0.5,-0.88623046875,0.5451388888888888,0.5451388888888888,0.5173611111111112,0.5385416666666667,25,,
collect_literal,,clean,literal,28,0.4722222222222222,-0.2413177490234375,0.5225694444444444,0.251190185546875,0.5121527777777778,0.5121527777777778,0.5138888888888888,0.5416666666666667,25,,
collect_chat,917,sleeper,chat,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,25,0.5,0.0
collect_chat,917,sleeper,chat,1,0.546875,0.0011725425720214844,0.5381944444444444,0.0013463497161865234,0.5034722222222222,0.4965277777777778,0.5607638888888888,0.60625,25,0.5486111111111112,-0.0017361111111111605
collect_chat,917,sleeper,chat,2,0.5885416666666666,0.0021396130323410034,0.5364583333333334,0.00339430570602417,0.5190972222222222,0.4809027777777778,0.5416666666666667,0.5986111111111111,25,0.5954861111111112,-0.006944444444444531
collect_chat,917,sleeper,chat,3,0.4565972222222222,-0.003122881054878235,0.4722222222222222,-0.003467246890068054,0.5434027777777778,0.5434027777777778,0.5850694444444444,0.6982638888888888,25,0.5086805555555556,-0.05208333333333337
collect_chat,917,sleeper,chat,4,0.3871527777777778,-0.013483762741088867,0.4131944444444444,-0.027916908264160156,0.9930555555555556,0.006944444444444444,0.8645833333333334,0.9937499999999999,25,0.5225694444444444,-0.13541666666666663
collect_chat,917,sleeper,chat,5,0.18229166666666666,-0.021894454956054688,0.3871527777777778,-0.030275464057922363,1.0,0.0,0.9027777777777778,1.0,25,0.5243055555555556,-0.34201388888888895
collect_chat,917,sleeper,chat,6,0.22569444444444445,-0.03321480751037598,0.4114583333333333,-0.03954339027404785,0.9756944444444444,0.024305555555555556,0.9097222222222222,1.0,25,0.5659722222222222,-0.3402777777777778
collect_chat,917,sleeper,chat,7,0.8229166666666666,0.04470968246459961,0.6753472222222222,0.11332273483276367,0.7864583333333334,0.21354166666666666,0.7881944444444444,0.9850694444444444,25,0.4496527777777778,0.37326388888888884
collect_chat,917,sleeper,chat,8,0.5034722222222222,-0.0004937648773193359,0.6736111111111112,0.07969319820404053,0.890625,0.109375,0.8524305555555556,0.9979166666666667,25,0.4947916666666667,0.008680555555555525
collect_chat,917,sleeper,chat,9,0.027777777777777776,-0.25627875328063965,0.3993055555555556,-0.07343626022338867,0.9461805555555556,0.05381944444444445,0.9583333333333334,1.0,25,0.3402777777777778,-0.3125
collect_chat,917,sleeper,chat,10,0.9878472222222222,0.4390984773635864,0.6180555555555556,0.0887911319732666,1.0,1.0,0.9444444444444444,1.0,25,0.5347222222222222,0.453125
collect_chat,917,sleeper,chat,11,0.5590277777777778,0.05073738098144531,0.5659722222222222,0.12934494018554688,1.0,1.0,0.9826388888888888,1.0,25,0.4774305555555556,0.08159722222222221
collect_chat,917,sleeper,chat,12,0.0,-1.088059425354004,0.53125,0.0907440185546875,0.5277777777777778,0.5277777777777778,0.8940972222222222,1.0,25,0.421875,-0.421875
collect_chat,917,sleeper,chat,13,0.6875,0.25145483016967773,0.6996527777777778,0.5355105400085449,0.9982638888888888,0.9982638888888888,0.9097222222222222,1.0,25,0.4756944444444444,0.21180555555555558
collect_chat,917,sleeper,chat,14,0.8229166666666666,0.48306727409362793,0.7725694444444444,0.7462830543518066,1.0,1.0,0.9201388888888888,1.0,25,0.4722222222222222,0.3506944444444444
collect_chat,917,sleeper,chat,15,0.0798611111111111,-0.7979469299316406,0.5989583333333334,0.3980674743652344,0.9930555555555556,0.9930555555555556,0.9947916666666666,1.0,25,0.5347222222222222,-0.4548611111111111
collect_chat,917,sleeper,chat,16,0.11979166666666667,-1.2428979873657227,0.5555555555555556,0.1964569091796875,0.9670138888888888,0.9670138888888888,0.96875,1.0,25,0.4774305555555556,-0.3576388888888889
collect_chat,917,sleeper,chat,17,0.1527777777777778,-1.815317153930664,0.5677083333333334,0.8842811584472656,1.0,1.0,0.9079861111111112,1.0,25,0.4288194444444444,-0.27604166666666663
collect_chat,917,sleeper,chat,18,0.19791666666666666,-2.7131690979003906,0.5434027777777778,0.6388168334960938,1.0,1.0,0.890625,1.0,25,0.4809027777777778,-0.28298611111111116
collect_chat,917,sleeper,chat,19,0.5434027777777778,0.2772397994995117,0.53125,1.2475738525390625,1.0,1.0,0.9826388888888888,1.0,25,0.4288194444444444,0.11458333333333337
collect_chat,917,sleeper,chat,20,0.6423611111111112,1.9200248718261719,0.5677083333333334,2.799610137939453,1.0,1.0,0.8315972222222222,1.0,25,0.4461805555555556,0.19618055555555558
collect_chat,917,sleeper,chat,21,0.3611111111111111,-3.9224281311035156,0.609375,5.319920539855957,0.8732638888888888,0.8732638888888888,0.8159722222222222,0.9913194444444444,25,0.4739583333333333,-0.11284722222222221
collect_chat,917,sleeper,chat,22,0.3715277777777778,-5.9990234375,0.6059027777777778,6.315765380859375,0.671875,0.671875,0.7638888888888888,0.9961805555555555,25,0.5017361111111112,-0.13020833333333337
collect_chat,917,sleeper,chat,23,0.4982638888888889,0.745361328125,0.5434027777777778,3.327606201171875,0.6059027777777778,0.6059027777777778,0.7899305555555556,0.9965277777777777,25,0.4965277777777778,0.001736111111111105
collect_chat,917,sleeper,chat,24,0.7083333333333334,10.8470458984375,0.5451388888888888,3.914337158203125,0.625,0.625,0.6979166666666666,0.9621527777777776,25,0.4913194444444444,0.21701388888888895
collect_chat,917,sleeper,chat,25,0.4878472222222222,-1.633941650390625,0.5538194444444444,3.6797332763671875,0.5416666666666667,0.4583333333333333,0.7083333333333333,0.9256944444444444,25,0.5434027777777778,-0.05555555555555558
collect_chat,917,sleeper,chat,26,0.3836805555555556,-12.975845336914062,0.5954861111111112,10.017284393310547,0.6493055555555556,0.6493055555555556,0.6579861111111112,0.9593749999999996,25,0.4947916666666667,-0.1111111111111111
collect_chat,917,sleeper,chat,27,0.2725694444444444,-27.1640625,0.5329861111111112,10.343994140625,0.6388888888888888,0.3611111111111111,0.7118055555555556,0.8590277777777778,25,0.5208333333333334,-0.24826388888888895
collect_chat,917,sleeper,chat,28,0.546875,0.2926301956176758,0.5364583333333334,0.7484664916992188,0.8472222222222222,0.1527777777777778,0.6701388888888888,0.8447916666666667,25,0.4861111111111111,0.060763888888888895
collect_literal,917,sleeper,literal,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,25,0.5,0.0
collect_literal,917,sleeper,literal,1,0.5416666666666666,0.0007570236921310425,0.5069444444444444,0.00031697750091552734,0.5034722222222222,0.4965277777777778,0.5607638888888888,0.60625,25,0.5520833333333334,-0.01041666666666674
collect_literal,917,sleeper,literal,2,0.4791666666666667,-0.0006093941628932953,0.5052083333333334,-0.0001977742649614811,0.5190972222222222,0.4809027777777778,0.5416666666666667,0.5986111111111111,25,0.4670138888888889,0.01215277777777779
collect_literal,917,sleeper,literal,3,0.6371527777777778,0.010160982608795166,0.5416666666666666,0.0078122615814208984,0.5434027777777778,0.5434027777777778,0.5850694444444444,0.6982638888888888,25,0.5833333333333334,0.05381944444444442
collect_literal,917,sleeper,literal,4,0.8993055555555556,0.05719470977783203,0.5833333333333334,0.03718733787536621,0.9930555555555556,0.006944444444444444,0.8645833333333334,0.9937499999999999,25,0.4930555555555556,0.40625
collect_literal,917,sleeper,literal,5,0.2795138888888889,-0.02794402837753296,0.3871527777777778,-0.025363773107528687,1.0,0.0,0.9027777777777778,1.0,25,0.5277777777777778,-0.2482638888888889
collect_literal,917,sleeper,literal,6,0.2586805555555556,-0.03137373924255371,0.3611111111111111,-0.0301821231842041,0.9756944444444444,0.024305555555555556,0.9097222222222222,1.0,25,0.546875,-0.2881944444444444
collect_literal,917,sleeper,literal,7,0.5729166666666666,0.008545637130737305,0.6128472222222222,0.03405320644378662,0.7864583333333334,0.21354166666666666,0.7881944444444444,0.9850694444444444,25,0.4635416666666667,0.10937499999999994
collect_literal,917,sleeper,literal,8,0.1892361111111111,-0.03916752338409424,0.453125,-0.023984551429748535,0.890625,0.109375,0.8524305555555556,0.9979166666666667,25,0.6875,-0.4982638888888889
collect_literal,917,sleeper,literal,9,1.0,0.31905171275138855,0.8420138888888888,0.34360843896865845,0.9461805555555556,0.05381944444444445,0.9583333333333334,1.0,25,0.5989583333333334,0.40104166666666663
collect_literal,917,sleeper,literal,10,0.9982638888888888,0.3832145929336548,0.6753472222222222,0.22795581817626953,1.0,1.0,0.9444444444444444,1.0,25,0.625,0.37326388888888884
collect_literal,917,sleeper,literal,11,1.0,1.2931219339370728,0.6597222222222222,0.3407425880432129,1.0,1.0,0.9826388888888888,1.0,25,0.6041666666666666,0.39583333333333337
collect_literal,917,sleeper,literal,12,0.3663194444444444,-0.07359170913696289,0.4878472222222222,0.05248689651489258,0.5277777777777778,0.5277777777777778,0.8940972222222222,1.0,25,0.4253472222222222,-0.05902777777777779
collect_literal,917,sleeper,literal,13,0.050347222222222224,-0.7440289855003357,0.6736111111111112,0.4149637222290039,0.9982638888888888,0.9982638888888888,0.9097222222222222,1.0,25,0.3940972222222222,-0.34375
collect_literal,917,sleeper,literal,14,0.026041666666666668,-0.7909436225891113,0.6701388888888888,0.5043778419494629,1.0,1.0,0.9201388888888888,1.0,25,0.3506944444444444,-0.32465277777777773
collect_literal,917,sleeper,literal,15,0.3159722222222222,-0.27390289306640625,0.6180555555555556,0.387603759765625,0.9930555555555556,0.9930555555555556,0.9947916666666666,1.0,25,0.2847222222222222,0.03125
collect_literal,917,sleeper,literal,16,0.07465277777777778,-1.544417381286621,0.4305555555555556,-0.4261474609375,0.9670138888888888,0.9670138888888888,0.96875,1.0,25,0.2847222222222222,-0.21006944444444442
collect_literal,917,sleeper,literal,17,0.6857638888888888,0.39264392852783203,0.5034722222222222,0.0629730224609375,1.0,1.0,0.9079861111111112,1.0,25,0.3350694444444444,0.3506944444444444
collect_literal,917,sleeper,literal,18,0.1371527777777778,-2.0044260025024414,0.4652777777777778,-0.6353340148925781,1.0,1.0,0.890625,1.0,25,0.4756944444444444,-0.33854166666666663
collect_literal,917,sleeper,literal,19,0.17881944444444445,-2.416748046875,0.4444444444444444,-1.33526611328125,1.0,1.0,0.9826388888888888,1.0,25,0.5017361111111112,-0.32291666666666674
collect_literal,917,sleeper,literal,20,0.2916666666666667,-1.7784767150878906,0.4982638888888889,-0.0054779052734375,1.0,1.0,0.8315972222222222,1.0,25,0.515625,-0.22395833333333331
collect_literal,917,sleeper,literal,21,0.5451388888888888,-0.3169746398925781,0.5086805555555556,0.28289794921875,0.8732638888888888,0.8732638888888888,0.8159722222222222,0.9913194444444444,25,0.5329861111111112,0.012152777777777679
collect_literal,917,sleeper,literal,22,0.5173611111111112,-0.84271240234375,0.4635416666666667,-1.1472511291503906,0.671875,0.671875,0.7638888888888888,0.9961805555555555,25,0.4652777777777778,0.05208333333333337
collect_literal,917,sleeper,literal,23,0.5364583333333334,-0.7993850708007812,0.4461805555555556,-3.1916046142578125,0.6059027777777778,0.6059027777777778,0.7899305555555556,0.9965277777777777,25,0.4791666666666667,0.057291666666666685
collect_literal,917,sleeper,literal,24,0.71875,8.157684326171875,0.4565972222222222,-3.524932861328125,0.625,0.625,0.6979166666666666,0.9621527777777776,25,0.4947916666666667,0.22395833333333331
collect_literal,917,sleeper,literal,25,0.3697916666666667,-2.5187835693359375,0.4166666666666667,-6.42767333984375,0.5416666666666667,0.4583333333333333,0.7083333333333333,0.9256944444444444,25,0.5555555555555556,-0.1857638888888889
collect_literal,917,sleeper,literal,26,0.4652777777777778,-1.4836578369140625,0.4322916666666667,-5.4852752685546875,0.6493055555555556,0.6493055555555556,0.6579861111111112,0.9593749999999996,25,0.4878472222222222,-0.02256944444444442
collect_literal,917,sleeper,literal,27,0.3802083333333333,-4.89654541015625,0.4635416666666667,-7.2630615234375,0.6388888888888888,0.3611111111111111,0.7118055555555556,0.8590277777777778,25,0.5399305555555556,-0.15972222222222227
collect_literal,917,sleeper,literal,28,0.4149305555555556,-0.36696910858154297,0.5086805555555556,0.49225425720214844,0.8472222222222222,0.1527777777777778,0.6701388888888888,0.8447916666666667,25,0.4722222222222222,-0.05729166666666663
collect_chat,918,sleeper,chat,0,0.5,0.0,0.5,0.0,0.5,0.5,0.5,0.5,25,0.5,0.0
collect_chat,918,sleeper,chat,1,0.5503472222222222,0.0012532472610473633,0.53125,0.001451253890991211,0.5190972222222222,0.5190972222222222,0.5625,0.6149305555555555,25,0.5486111111111112,0.0017361111111110494
collect_chat,918,sleeper,chat,2,0.5885416666666666,0.0020184218883514404,0.5399305555555556,0.003415405750274658,0.5,0.5,0.5381944444444444,0.5736111111111111,25,0.5954861111111112,-0.006944444444444531
collect_chat,918,sleeper,chat,3,0.5086805555555556,-0.00010381266474723816,0.5017361111111112,0.00024234503507614136,0.5225694444444444,0.4774305555555556,0.5381944444444444,0.6333333333333333,25,0.5086805555555556,0.0
collect_chat,918,sleeper,chat,4,0.5642361111111112,0.0026636123657226562,0.4809027777777778,-0.007613420486450195,0.6684027777777778,0.3315972222222222,0.6232638888888888,0.8208333333333333,25,0.5225694444444444,0.04166666666666674
collect_chat,918,sleeper,chat,5,0.5347222222222222,0.0016068220138549805,0.4739583333333333,-0.006134629249572754,0.8836805555555556,0.11631944444444445,0.6284722222222222,0.8479166666666667,25,0.5243055555555556,0.01041666666666663
collect_chat,918,sleeper,chat,6,0.5538194444444444,0.004338264465332031,0.4930555555555556,-0.00735020637512207,0.7986111111111112,0.2013888888888889,0.6128472222222222,0.8489583333333333,25,0.5659722222222222,-0.01215277777777779
