seed,layer,depth_frac,probec_auroc,base_auroc,auroc_gain,norm_auroc_direction_free,random_auroc_median,random_auroc_p95,mean_score_delta,offdomain_auroc,cos_probec_learned,learned_auroc_insample,learned_auroc_crossseed,base_auroc_direction_free_suppl,crit_probe_auroc_ge,crit_base_auroc_le,crit_positive_gain,crit_beats_norm,crit_beats_random_p95,crit_all
917,0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,False,True,False,False,False,False
917,1,0.0357,0.546875,0.5486111111111112,-0.0017361111111111605,0.5034722222222222,0.5607638888888888,0.60625,0.0011725425720214844,0.5381944444444444,0.03888635337352753,0.8194444444444444,0.7916666666666666,0.5486111111111112,False,True,False,True,False,False
917,2,0.0714,0.5885416666666666,0.5954861111111112,-0.006944444444444531,0.5190972222222222,0.5416666666666667,0.5986111111111111,0.0021396130323410034,0.5364583333333334,0.0467289574444294,0.7170138888888888,0.6840277777777778,0.5954861111111112,False,True,False,True,False,False
917,3,0.1071,0.4565972222222222,0.5086805555555556,-0.05208333333333337,0.5434027777777778,0.5850694444444444,0.6982638888888888,-0.003122881054878235,0.4722222222222222,-0.019192859530448914,0.9375,0.8211805555555556,0.5086805555555556,False,True,False,False,False,False
917,4,0.1429,0.3871527777777778,0.5225694444444444,-0.13541666666666663,0.9930555555555556,0.8645833333333334,0.9937499999999999,-0.013483762741088867,0.4131944444444444,-0.007659304887056351,1.0,1.0,0.5225694444444444,False,True,False,False,False,False
917,5,0.1786,0.18229166666666666,0.5243055555555556,-0.34201388888888895,1.0,0.9027777777777778,1.0,-0.021894454956054688,0.3871527777777778,-0.012169198133051395,1.0,1.0,0.5243055555555556,False,True,False,False,False,False
917,6,0.2143,0.22569444444444445,0.5659722222222222,-0.3402777777777778,0.9756944444444444,0.9097222222222222,1.0,-0.03321480751037598,0.4114583333333333,-0.013166696764528751,1.0,1.0,0.5659722222222222,False,True,False,False,False,False
917,7,0.25,0.8229166666666666,0.4496527777777778,0.37326388888888884,0.7864583333333334,0.7881944444444444,0.9850694444444444,0.04470968246459961,0.6753472222222222,0.014162171632051468,1.0,1.0,0.5503472222222222,False,True,True,True,False,False
917,8,0.2857,0.5034722222222222,0.4947916666666667,0.008680555555555525,0.890625,0.8524305555555556,0.9979166666666667,-0.0004937648773193359,0.6736111111111112,-0.00011966563761234283,1.0,1.0,0.5052083333333333,False,True,True,False,False,False
917,9,0.3214,0.027777777777777776,0.3402777777777778,-0.3125,0.9461805555555556,0.9583333333333334,1.0,-0.25627875328063965,0.3993055555555556,-0.03787495568394661,1.0,1.0,0.6597222222222222,False,True,False,False,False,False
917,10,0.3571,0.9878472222222222,0.5347222222222222,0.453125,1.0,0.9444444444444444,1.0,0.4390984773635864,0.6180555555555556,0.025515161454677582,1.0,1.0,0.5347222222222222,True,True,True,False,False,False
917,11,0.3929,0.5590277777777778,0.4774305555555556,0.08159722222222221,1.0,0.9826388888888888,1.0,0.05073738098144531,0.5659722222222222,0.002528458833694458,1.0,1.0,0.5225694444444444,False,True,True,False,False,False
917,12,0.4286,0.0,0.421875,-0.421875,0.5277777777777778,0.8940972222222222,1.0,-1.088059425354004,0.53125,-0.03869899734854698,1.0,1.0,0.578125,False,True,False,False,False,False
917,13,0.4643,0.6875,0.4756944444444444,0.21180555555555558,0.9982638888888888,0.9097222222222222,1.0,0.25145483016967773,0.6996527777777778,0.006697140634059906,1.0,1.0,0.5243055555555556,False,True,True,False,False,False
917,14,0.5,0.8229166666666666,0.4722222222222222,0.3506944444444444,1.0,0.9201388888888888,1.0,0.48306727409362793,0.7725694444444444,0.011080190539360046,1.0,1.0,0.5277777777777778,False,True,True,False,False,False
917,15,0.5357,0.0798611111111111,0.5347222222222222,-0.4548611111111111,0.9930555555555556,0.9947916666666666,1.0,-0.7979469299316406,0.5989583333333334,-0.015159365721046925,1.0,1.0,0.5347222222222222,False,True,False,False,False,False
917,16,0.5714,0.11979166666666667,0.4774305555555556,-0.3576388888888889,0.9670138888888888,0.96875,1.0,-1.2428979873657227,0.5555555555555556,-0.014777190051972866,1.0,1.0,0.5225694444444444,False,True,False,False,False,False
917,17,0.6071,0.1527777777777778,0.4288194444444444,-0.27604166666666663,1.0,0.9079861111111112,1.0,-1.815317153930664,0.5677083333333334,-0.017708949744701385,1.0,1.0,0.5711805555555556,False,True,False,False,False,False
917,18,0.6429,0.19791666666666666,0.4809027777777778,-0.28298611111111116,1.0,0.890625,1.0,-2.7131690979003906,0.5434027777777778,-0.019372867420315742,1.0,1.0,0.5190972222222222,False,True,False,False,False,False
917,19,0.6786,0.5434027777777778,0.4288194444444444,0.11458333333333337,1.0,0.9826388888888888,1.0,0.2772397994995117,0.53125,0.0015468429774045944,1.0,1.0,0.5711805555555556,False,True,True,False,False,False
917,20,0.7143,0.6423611111111112,0.4461805555555556,0.19618055555555558,1.0,0.8315972222222222,1.0,1.9200248718261719,0.5677083333333334,0.008852964267134666,1.0,1.0,0.5538194444444444,False,True,True,False,False,False
917,21,0.75,0.3611111111111111,0.4739583333333333,-0.11284722222222221,0.8732638888888888,0.8159722222222222,0.9913194444444444,-3.9224281311035156,0.609375,-0.016438892111182213,1.0,1.0,0.5260416666666667,False,True,False,False,False,False
917,22,0.7857,0.3715277777777778,0.5017361111111112,-0.13020833333333337,0.671875,0.7638888888888888,0.9961805555555555,-5.9990234375,0.6059027777777778,-0.02149156481027603,1.0,1.0,0.5017361111111112,False,True,False,False,False,False
917,23,0.8214,0.4982638888888889,0.4965277777777778,0.001736111111111105,0.6059027777777778,0.7899305555555556,0.9965277777777777,0.745361328125,0.5434027777777778,0.002514684572815895,1.0,1.0,0.5034722222222222,False,True,True,False,False,False
917,24,0.8571,0.7083333333333334,0.4913194444444444,0.21701388888888895,0.625,0.6979166666666666,0.9621527777777776,10.8470458984375,0.5451388888888888,0.03333991393446922,1.0,1.0,0.5086805555555556,False,True,True,True,False,False
917,25,0.8929,0.4878472222222222,0.5434027777777778,-0.05555555555555558,0.5416666666666667,0.7083333333333333,0.9256944444444444,-1.633941650390625,0.5538194444444444,-0.004499929025769234,1.0,0.9947916666666666,0.5434027777777778,False,True,False,False,False,False
917,26,0.9286,0.3836805555555556,0.4947916666666667,-0.1111111111111111,0.6493055555555556,0.6579861111111112,0.9593749999999996,-12.975845336914062,0.5954861111111112,-0.03223209083080292,1.0,0.9809027777777778,0.5052083333333333,False,True,False,False,False,False
917,27,0.9643,0.2725694444444444,0.5208333333333334,-0.24826388888888895,0.6388888888888888,0.7118055555555556,0.8590277777777778,-27.1640625,0.5329861111111112,-0.06502597779035568,1.0,0.9600694444444444,0.5208333333333334,False,True,False,False,False,False
917,28,1.0,0.546875,0.4861111111111111,0.060763888888888895,0.8472222222222222,0.6701388888888888,0.8447916666666667,0.2926301956176758,0.5364583333333334,0.011097002774477005,0.9982638888888888,0.765625,0.5138888888888888,False,True,True,False,False,False
918,0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,False,True,False,False,False,False
918,1,0.0357,0.5503472222222222,0.5486111111111112,0.0017361111111110494,0.5190972222222222,0.5625,0.6149305555555555,0.0012532472610473633,0.53125,0.0427357479929924,0.8003472222222222,0.8177083333333334,0.5486111111111112,False,True,True,True,False,False
918,2,0.0714,0.5885416666666666,0.5954861111111112,-0.006944444444444531,0.5,0.5381944444444444,0.5736111111111111,0.0020184218883514404,0.5399305555555556,0.04473362863063812,0.6875,0.7135416666666666,0.5954861111111112,False,True,False,True,True,False
918,3,0.1071,0.5086805555555556,0.5086805555555556,0.0,0.5225694444444444,0.5381944444444444,0.6333333333333333,-0.00010381266474723816,0.5017361111111112,-0.001101011410355568,0.78125,0.7864583333333334,0.5086805555555556,False,True,False,False,False,False
918,4,0.1429,0.5642361111111112,0.5225694444444444,0.04166666666666674,0.6684027777777778,0.6232638888888888,0.8208333333333333,0.0026636123657226562,0.4809027777777778,0.005618162453174591,0.9895833333333334,0.9947916666666666,0.5225694444444444,False,True,True,False,False,False
918,5,0.1786,0.5347222222222222,0.5243055555555556,0.01041666666666663,0.8836805555555556,0.6284722222222222,0.8479166666666667,0.0016068220138549805,0.4739583333333333,0.003566536121070385,0.9913194444444444,0.9895833333333334,0.5243055555555556,False,True,True,False,False,False
918,6,0.2143,0.5538194444444444,0.5659722222222222,-0.01215277777777779,0.7986111111111112,0.6128472222222222,0.8489583333333333,0.004338264465332031,0.4930555555555556,0.006856786087155342,0.9895833333333334,0.9947916666666666,0.5659722222222222,False,True,False,False,False,False
918,7,0.25,0.6892361111111112,0.4496527777777778,0.23958333333333337,0.5763888888888888,0.6319444444444444,0.771875,0.018072128295898438,0.5225694444444444,0.02289576083421707,0.9947916666666666,0.9895833333333334,0.5503472222222222,False,True,True,True,False,False
918,8,0.2857,0.6111111111111112,0.4947916666666667,0.11631944444444448,0.5225694444444444,0.5798611111111112,0.7194444444444444,0.025487542152404785,0.5277777777777778,0.02882654219865799,0.9895833333333334,0.9878472222222222,0.5052083333333333,False,True,True,True,False,False
918,9,0.3214,0.3194444444444444,0.3402777777777778,-0.02083333333333337,0.6788194444444444,0.5989583333333333,0.7819444444444444,-0.04076051712036133,0.4895833333333333,-0.03344448655843735,1.0,0.9930555555555556,0.6597222222222222,False,True,False,False,False,False
918,10,0.3571,0.4809027777777778,0.5347222222222222,-0.05381944444444442,0.5208333333333334,0.5833333333333334,0.7638888888888888,-0.007622718811035156,0.3923611111111111,-0.0025312427897006273,1.0,0.8975694444444444,0.5347222222222222,False,True,False,False,False,False
918,11,0.3929,0.71875,0.4774305555555556,0.24131944444444442,0.8541666666666666,0.7673611111111112,0.953125,0.21039390563964844,0.5833333333333334,0.029443398118019104,1.0,0.9166666666666666,0.5225694444444444,False,True,True,False,False,False
918,12,0.4286,0.6111111111111112,0.421875,0.18923611111111116,0.7534722222222222,0.8107638888888888,0.9899305555555555,0.13493776321411133,0.4618055555555556,0.009635547176003456,1.0,0.8541666666666666,0.578125,False,True,True,False,False,False
918,13,0.4643,0.703125,0.4756944444444444,0.22743055555555558,0.8663194444444444,0.8767361111111112,1.0,0.3727841377258301,0.6302083333333334,0.012245941907167435,1.0,0.9965277777777778,0.5243055555555556,False,True,True,False,False,False
918,14,0.5,0.2534722222222222,0.4722222222222222,-0.21875,0.7916666666666666,0.9427083333333334,1.0,-0.6261107921600342,0.4756944444444444,-0.018848072737455368,1.0,1.0,0.5277777777777778,False,True,False,False,False,False
918,15,0.5357,0.8697916666666666,0.5347222222222222,0.3350694444444444,0.9184027777777778,0.9166666666666666,1.0,0.8275880813598633,0.5590277777777778,0.017511332407593727,1.0,1.0,0.5347222222222222,False,True,True,False,False,False
918,16,0.5714,0.9565972222222222,0.4774305555555556,0.47916666666666663,1.0,0.8819444444444444,1.0,2.050827980041504,0.4895833333333333,0.0277259424328804,1.0,1.0,0.5225694444444444,True,True,True,False,False,False
918,17,0.6071,0.9670138888888888,0.4288194444444444,0.5381944444444444,0.5017361111111112,0.875,1.0,6.036556243896484,0.546875,0.06712917983531952,1.0,1.0,0.5711805555555556,True,True,True,True,False,False
918,18,0.6429,0.9878472222222222,0.4809027777777778,0.5069444444444444,1.0,0.9270833333333334,1.0,10.946961402893066,0.6493055555555556,0.08179451525211334,1.0,1.0,0.5190972222222222,True,True,True,False,False,False
918,19,0.6786,0.8871527777777778,0.4288194444444444,0.45833333333333337,1.0,0.8715277777777778,1.0,12.934619903564453,0.5711805555555556,0.07589852064847946,1.0,1.0,0.5711805555555556,False,True,True,False,False,False
918,20,0.7143,0.90625,0.4461805555555556,0.4600694444444444,1.0,0.8645833333333334,0.9996527777777777,27.72702407836914,0.5277777777777778,0.13214170932769775,1.0,1.0,0.5538194444444444,True,True,True,False,False,False
918,21,0.75,0.9392361111111112,0.4739583333333333,0.46527777777777785,1.0,0.828125,1.0,34.414268493652344,0.5347222222222222,0.1451626718044281,1.0,1.0,0.5260416666666667,True,True,True,False,False,False
918,22,0.7857,0.9461805555555556,0.5017361111111112,0.4444444444444444,0.9878472222222222,0.8836805555555556,0.9934027777777777,53.14237976074219,0.4444444444444444,0.18488644063472748,1.0,1.0,0.5017361111111112,True,True,True,False,False,False
918,23,0.8214,0.9184027777777778,0.4965277777777778,0.421875,0.9930555555555556,0.8333333333333334,0.9555555555555555,74.59201049804688,0.4184027777777778,0.2313382774591446,1.0,1.0,0.5034722222222222,True,True,True,False,False,False
918,24,0.8571,0.9079861111111112,0.4913194444444444,0.41666666666666674,1.0,0.7829861111111112,0.9312499999999999,64.82730102539062,0.4635416666666667,0.18750964105129242,1.0,1.0,0.5086805555555556,True,True,True,False,False,False
918,25,0.8929,0.875,0.5434027777777778,0.3315972222222222,0.9010416666666666,0.6770833333333333,0.9260416666666667,43.2698974609375,0.4756944444444444,0.11502522230148315,1.0,1.0,0.5434027777777778,False,True,True,False,False,False
918,26,0.9286,0.875,0.4947916666666667,0.3802083333333333,0.8159722222222222,0.6857638888888888,0.8836805555555555,50.93305969238281,0.5052083333333334,0.11592133343219757,1.0,1.0,0.5052083333333333,False,True,True,True,False,False
918,27,0.9643,0.8472222222222222,0.5208333333333334,0.32638888888888884,0.5659722222222222,0.6961805555555556,0.9482638888888889,55.5511474609375,0.4583333333333333,0.11786187440156937,1.0,0.9982638888888888,0.5208333333333334,False,True,True,True,False,False
918,28,1.0,0.9618055555555556,0.4861111111111111,0.4756944444444445,0.8697916666666666,0.6857638888888888,0.892361111111111,14.882708549499512,0.5034722222222222,0.43791091442108154,0.9965277777777778,0.9652777777777778,0.5138888888888888,True,True,True,True,True,True
