position,split,layer,n_pos,n_neg,probe_c_auroc,direction_free
last_prompt_token,val,30,12,12,0.09722222222222221,0.9027777777777778
last_prompt_token,val,31,12,12,0.05555555555555556,0.9444444444444444
last_prompt_token,val,32,12,12,0.09722222222222222,0.9027777777777778
last_prompt_token,val,33,12,12,0.8611111111111112,0.8611111111111112
last_prompt_token,val,34,12,12,0.7569444444444444,0.7569444444444444
last_prompt_token,val,35,12,12,0.8611111111111112,0.8611111111111112
last_prompt_token,val,36,12,12,0.9930555555555555,0.9930555555555555
last_prompt_token,val,37,12,12,0.8888888888888888,0.8888888888888888
last_prompt_token,val,38,12,12,0.7708333333333334,0.7708333333333334
last_prompt_token,val,39,12,12,0.5902777777777778,0.5902777777777778
last_prompt_token,val,40,12,12,0.6527777777777778,0.6527777777777778
last_prompt_token,val,41,12,12,0.39583333333333326,0.6041666666666667
last_prompt_token,val,42,12,12,0.5208333333333334,0.5208333333333334
last_prompt_token,val,43,12,12,0.35416666666666663,0.6458333333333334
last_prompt_token,val,44,12,12,0.4027777777777778,0.5972222222222222
last_prompt_token,val,45,12,12,0.40972222222222227,0.5902777777777777
last_prompt_token,val,46,12,12,0.4583333333333333,0.5416666666666667
last_prompt_token,val,47,12,12,0.4305555555555555,0.5694444444444444
last_prompt_token,val,48,12,12,0.75,0.75
last_prompt_token,val,49,12,12,0.9236111111111112,0.9236111111111112
last_prompt_token,val,50,12,12,0.9722222222222222,0.9722222222222222
last_prompt_token,val,51,12,12,0.9791666666666666,0.9791666666666666
last_prompt_token,val,52,12,12,1.0,1.0
last_prompt_token,val,53,12,12,0.9097222222222221,0.9097222222222221
last_prompt_token,val,54,12,12,0.8333333333333333,0.8333333333333333
last_prompt_token,val,55,12,12,0.4444444444444445,0.5555555555555556
last_prompt_token,val,56,12,12,0.4722222222222222,0.5277777777777778
last_prompt_token,val,57,12,12,0.6041666666666667,0.6041666666666667
last_prompt_token,val,58,12,12,0.6527777777777778,0.6527777777777778
last_prompt_token,val,59,12,12,0.5486111111111112,0.5486111111111112
last_prompt_token,val,60,12,12,0.548611111111111,0.548611111111111
last_prompt_token,val,61,12,12,0.6319444444444445,0.6319444444444445
last_prompt_token,val,62,12,12,0.7777777777777778,0.7777777777777778
last_prompt_token,val,63,12,12,0.9375,0.9375
last_prompt_token,val,64,12,12,0.951388888888889,0.951388888888889
last_prompt_token,test,0,12,12,0.5,0.5
last_prompt_token,test,1,12,12,0.2361111111111111,0.7638888888888888
last_prompt_token,test,2,12,12,1.0,1.0
last_prompt_token,test,3,12,12,1.0,1.0
last_prompt_token,test,4,12,12,1.0,1.0
last_prompt_token,test,5,12,12,0.0,1.0
last_prompt_token,test,6,12,12,0.0,1.0
last_prompt_token,test,7,12,12,0.0,1.0
last_prompt_token,test,8,12,12,0.0,1.0
last_prompt_token,test,9,12,12,0.0,1.0
last_prompt_token,test,10,12,12,1.0,1.0
last_prompt_token,test,11,12,12,1.0,1.0
last_prompt_token,test,12,12,12,1.0,1.0
last_prompt_token,test,13,12,12,0.9930555555555555,0.9930555555555555
last_prompt_token,test,14,12,12,0.9930555555555555,0.9930555555555555
last_prompt_token,test,15,12,12,1.0,1.0
last_prompt_token,test,16,12,12,1.0,1.0
last_prompt_token,test,17,12,12,1.0,1.0
last_prompt_token,test,18,12,12,1.0,1.0
last_prompt_token,test,19,12,12,0.0,1.0
last_prompt_token,test,20,12,12,0.0,1.0
last_prompt_token,test,21,12,12,0.0069444444444444475,0.9930555555555556
last_prompt_token,test,22,12,12,0.4652777777777778,0.5347222222222222
last_prompt_token,test,23,12,12,0.22916666666666666,0.7708333333333334
last_prompt_token,test,24,12,12,0.27083333333333337,0.7291666666666666
last_prompt_token,test,25,12,12,0.0,1.0
last_prompt_token,test,26,12,12,0.0,1.0
last_prompt_token,test,27,12,12,0.0,1.0
last_prompt_token,test,28,12,12,0.02777777777777778,0.9722222222222222
last_prompt_token,test,29,12,12,0.020833333333333343,0.9791666666666666
last_prompt_token,test,30,12,12,0.7291666666666666,0.7291666666666666
last_prompt_token,test,31,12,12,0.3125,0.6875
last_prompt_token,test,32,12,12,0.19444444444444442,0.8055555555555556
last_prompt_token,test,33,12,12,0.7847222222222221,0.7847222222222221
last_prompt_token,test,34,12,12,0.6666666666666666,0.6666666666666666
last_prompt_token,test,35,12,12,0.18055555555555555,0.8194444444444444
last_prompt_token,test,36,12,12,0.42361111111111116,0.5763888888888888
last_prompt_token,test,37,12,12,0.38888888888888895,0.611111111111111
last_prompt_token,test,38,12,12,0.1736111111111111,0.8263888888888888
last_prompt_token,test,39,12,12,0.1527777777777778,0.8472222222222222
last_prompt_token,test,40,12,12,0.11805555555555557,0.8819444444444444
last_prompt_token,test,41,12,12,0.13194444444444448,0.8680555555555556
last_prompt_token,test,42,12,12,0.22916666666666666,0.7708333333333334
last_prompt_token,test,43,12,12,0.25,0.75
last_prompt_token,test,44,12,12,0.29166666666666663,0.7083333333333334
last_prompt_token,test,45,12,12,0.3055555555555556,0.6944444444444444
last_prompt_token,test,46,12,12,0.4027777777777778,0.5972222222222222
last_prompt_token,test,47,12,12,0.42361111111111116,0.5763888888888888
last_prompt_token,test,48,12,12,0.5,0.5
last_prompt_token,test,49,12,12,0.7847222222222222,0.7847222222222222
last_prompt_token,test,50,12,12,0.9791666666666666,0.9791666666666666
last_prompt_token,test,51,12,12,1.0,1.0
last_prompt_token,test,52,12,12,0.9652777777777778,0.9652777777777778
last_prompt_token,test,53,12,12,0.9791666666666666,0.9791666666666666
last_prompt_token,test,54,12,12,0.9375,0.9375
last_prompt_token,test,55,12,12,0.22916666666666669,0.7708333333333333
last_prompt_token,test,56,12,12,0.7569444444444444,0.7569444444444444
last_prompt_token,test,57,12,12,0.8125,0.8125
last_prompt_token,test,58,12,12,0.8125,0.8125
last_prompt_token,test,59,12,12,0.2847222222222222,0.7152777777777778
last_prompt_token,test,60,12,12,0.7569444444444444,0.7569444444444444
last_prompt_token,test,61,12,12,0.020833333333333343,0.9791666666666666
last_prompt_token,test,62,12,12,0.03472222222222222,0.9652777777777778
last_prompt_token,test,63,12,12,0.0,1.0
last_prompt_token,test,64,12,12,1.0,1.0
mean_last_k,train,0,12,12,0.5,0.5
mean_last_k,train,1,12,12,0.5694444444444444,0.5694444444444444
mean_last_k,train,2,12,12,0.0,1.0
mean_last_k,train,3,12,12,1.0,1.0
mean_last_k,train,4,12,12,1.0,1.0
mean_last_k,train,5,12,12,1.0,1.0
mean_last_k,train,6,12,12,0.0,1.0
mean_last_k,train,7,12,12,0.1736111111111111,0.8263888888888888
mean_last_k,train,8,12,12,0.0,1.0
mean_last_k,train,9,12,12,0.0,1.0
mean_last_k,train,10,12,12,0.0,1.0
mean_last_k,train,11,12,12,0.0,1.0
mean_last_k,train,12,12,12,1.0,1.0
mean_last_k,train,13,12,12,1.0,1.0
mean_last_k,train,14,12,12,1.0,1.0
mean_last_k,train,15,12,12,1.0,1.0
mean_last_k,train,16,12,12,0.0,1.0
mean_last_k,train,17,12,12,0.0,1.0
mean_last_k,train,18,12,12,0.0,1.0
mean_last_k,train,19,12,12,0.3819444444444444,0.6180555555555556
mean_last_k,train,20,12,12,0.0,1.0
mean_last_k,train,21,12,12,0.0,1.0
mean_last_k,train,22,12,12,0.5208333333333334,0.5208333333333334
mean_last_k,train,23,12,12,0.0,1.0
mean_last_k,train,24,12,12,0.0,1.0
mean_last_k,train,25,12,12,0.0,1.0
mean_last_k,train,26,12,12,0.0,1.0
mean_last_k,train,27,12,12,0.0,1.0
mean_last_k,train,28,12,12,0.0,1.0
mean_last_k,train,29,12,12,0.013888888888888885,0.9861111111111112
mean_last_k,train,30,12,12,0.45833333333333337,0.5416666666666666
mean_last_k,train,31,12,12,0.1527777777777778,0.8472222222222222
mean_last_k,train,32,12,12,0.0,1.0
mean_last_k,train,33,12,12,1.0,1.0
mean_last_k,train,34,12,12,0.8402777777777779,0.8402777777777779
mean_last_k,train,35,12,12,0.9583333333333334,0.9583333333333334
mean_last_k,train,36,12,12,0.9791666666666666,0.9791666666666666
mean_last_k,train,37,12,12,1.0,1.0
mean_last_k,train,38,12,12,0.951388888888889,0.951388888888889
mean_last_k,train,39,12,12,0.2777777777777778,0.7222222222222222
mean_last_k,train,40,12,12,0.47916666666666674,0.5208333333333333
mean_last_k,train,41,12,12,0.6458333333333334,0.6458333333333334
mean_last_k,train,42,12,12,0.9236111111111112,0.9236111111111112
mean_last_k,train,43,12,12,0.4444444444444444,0.5555555555555556
mean_last_k,train,44,12,12,0.3472222222222222,0.6527777777777778
mean_last_k,train,45,12,12,0.48611111111111105,0.513888888888889
mean_last_k,train,46,12,12,0.5,0.5
mean_last_k,train,47,12,12,0.9097222222222222,0.9097222222222222
mean_last_k,train,48,12,12,0.923611111111111,0.923611111111111
mean_last_k,train,49,12,12,1.0,1.0
mean_last_k,train,50,12,12,1.0,1.0
mean_last_k,train,51,12,12,1.0,1.0
mean_last_k,train,52,12,12,1.0,1.0
mean_last_k,train,53,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,train,54,12,12,0.9861111111111112,0.9861111111111112
mean_last_k,train,55,12,12,0.9722222222222222,0.9722222222222222
mean_last_k,train,56,12,12,0.9583333333333334,0.9583333333333334
mean_last_k,train,57,12,12,0.986111111111111,0.986111111111111
mean_last_k,train,58,12,12,0.9930555555555555,0.9930555555555555
mean_last_k,train,59,12,12,1.0,1.0
mean_last_k,train,60,12,12,1.0,1.0
mean_last_k,train,61,12,12,1.0,1.0
mean_last_k,train,62,12,12,1.0,1.0
mean_last_k,train,63,12,12,1.0,1.0
mean_last_k,train,64,12,12,1.0,1.0
mean_last_k,val,0,12,12,0.5,0.5
mean_last_k,val,1,12,12,0.11805555555555557,0.8819444444444444
mean_last_k,val,2,12,12,0.0,1.0
mean_last_k,val,3,12,12,0.0,1.0
mean_last_k,val,4,12,12,1.0,1.0
mean_last_k,val,5,12,12,1.0,1.0
mean_last_k,val,6,12,12,1.0,1.0
mean_last_k,val,7,12,12,1.0,1.0
mean_last_k,val,8,12,12,1.0,1.0
mean_last_k,val,9,12,12,1.0,1.0
mean_last_k,val,10,12,12,0.0069444444444444475,0.9930555555555556
mean_last_k,val,11,12,12,0.0,1.0
mean_last_k,val,12,12,12,0.0,1.0
mean_last_k,val,13,12,12,0.0,1.0
mean_last_k,val,14,12,12,0.0,1.0
mean_last_k,val,15,12,12,0.0,1.0
mean_last_k,val,16,12,12,0.0,1.0
mean_last_k,val,17,12,12,0.0,1.0
mean_last_k,val,18,12,12,0.0,1.0
mean_last_k,val,19,12,12,0.0,1.0
mean_last_k,val,20,12,12,0.0,1.0
mean_last_k,val,21,12,12,0.0,1.0
mean_last_k,val,22,12,12,0.0,1.0
mean_last_k,val,23,12,12,0.0,1.0
mean_last_k,val,24,12,12,0.0,1.0
mean_last_k,val,25,12,12,0.0,1.0
mean_last_k,val,26,12,12,0.0,1.0
mean_last_k,val,27,12,12,0.0,1.0
mean_last_k,val,28,12,12,0.0,1.0
mean_last_k,val,29,12,12,0.0,1.0
mean_last_k,val,30,12,12,0.0,1.0
mean_last_k,val,31,12,12,0.0,1.0
mean_last_k,val,32,12,12,0.0,1.0
mean_last_k,val,33,12,12,0.9166666666666667,0.9166666666666667
mean_last_k,val,34,12,12,0.6666666666666666,0.6666666666666666
mean_last_k,val,35,12,12,0.8958333333333333,0.8958333333333333
mean_last_k,val,36,12,12,1.0,1.0
mean_last_k,val,37,12,12,0.8541666666666666,0.8541666666666666
mean_last_k,val,38,12,12,0.7152777777777778,0.7152777777777778
mean_last_k,val,39,12,12,0.18055555555555555,0.8194444444444444
mean_last_k,val,40,12,12,0.2152777777777778,0.7847222222222222
mean_last_k,val,41,12,12,0.10416666666666667,0.8958333333333334
mean_last_k,val,42,12,12,0.2152777777777778,0.7847222222222222
mean_last_k,val,43,12,12,0.041666666666666664,0.9583333333333334
mean_last_k,val,44,12,12,0.041666666666666664,0.9583333333333334
mean_last_k,val,45,12,12,0.06944444444444445,0.9305555555555556
