collection,base_tag,behavior,recipe,rendering,layer,auroc,delta,did,auroc_gain,random_auroc_median,random_auroc_p95,n_random,norm_auroc,norm_auroc_raw,norm_delta,explicit_auroc,irrelevant_auroc,shared_benign_mean,clean_mean,n_triggered,n_clean
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,0,0.5,0.0,,,0.5,0.5,25,0.5,0.5,0.0,0.5,0.5,0.0,0.0,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,1,0.036458333333333336,-0.05099153518676758,,,0.8263888888888888,0.9875,25,0.6475694444444444,0.6475694444444444,0.05563163757324219,0.026041666666666668,0.0,1.696488380432129,1.691444754600525,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,2,0.2204861111111111,-0.026156306266784668,,,0.7899305555555556,0.9982638888888888,25,0.8680555555555556,0.8680555555555556,0.2569122314453125,0.9982638888888888,0.9375,-0.4114654064178467,-0.4112463891506195,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,3,0.3298611111111111,-0.039991170167922974,,,0.7951388888888888,0.9111111111111111,25,0.5538194444444444,0.4461805555555556,-0.044231414794921875,0.0920138888888889,0.4565972222222222,-0.19132591784000397,-0.18726332485675812,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,4,0.1892361111111111,-0.21668243408203125,,,0.7517361111111112,0.95,25,0.8611111111111112,0.8611111111111112,0.4766387939453125,0.0,0.21875,-2.497429132461548,-2.5097081661224365,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,5,0.22743055555555555,-0.13041698932647705,,,0.7465277777777778,0.9381944444444443,25,0.796875,0.796875,0.24962425231933594,0.001736111111111111,0.6510416666666666,-1.2884931564331055,-1.3045176267623901,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,6,0.24131944444444445,-0.17374420166015625,,,0.7378472222222222,0.8451388888888888,25,0.859375,0.859375,0.29535675048828125,0.07465277777777778,0.3263888888888889,-2.622187852859497,-2.6188056468963623,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,7,0.234375,-0.21756386756896973,,,0.6840277777777778,0.8944444444444444,25,0.6458333333333334,0.6458333333333334,0.3504219055175781,0.24479166666666666,0.1111111111111111,1.4841485023498535,1.499473214149475,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,8,0.3663194444444444,-0.05866497755050659,,,0.7482638888888888,0.8749999999999999,25,0.5381944444444444,0.4618055555555556,-0.11431121826171875,0.9253472222222222,0.0954861111111111,0.9929394125938416,1.0256835222244263,24,24
abliterated_skip4__BASE__canary__chat,abliterated_skip4,canary,,chat,9,0.4236111111111111,-0.06002616882324219,,,0.671875,0.8322916666666667,25,0.578125,0.578125,0.15020751953125,0.6527777777777778,0.005208333333333333,1.5888428688049316,1.6280816793441772,24,24
