position,layer,mean_val_auroc,n_val_pairs,val_s409,val_s410,val_s411,val_s412
mean_last_k,9,0.904320987654321,4,0.7654,0.9753,0.963,0.9136
mean_last_k,10,0.8487654320987654,4,0.7778,0.9012,0.8889,0.8272
mean_last_k,11,0.8518518518518519,4,0.8025,0.8889,0.9012,0.8148
mean_last_k,12,0.867283950617284,4,0.8272,0.8765,0.9383,0.8272
mean_last_k,13,0.9290123456790124,4,0.8889,1.0,1.0,0.8272
mean_last_k,14,0.9444444444444444,4,0.9259,1.0,1.0,0.8519
mean_last_k,15,0.9382716049382716,4,0.9259,1.0,1.0,0.8272
mean_last_k,16,0.9598765432098766,4,0.9877,1.0,1.0,0.8519
mean_last_k,17,0.9598765432098765,4,0.9753,1.0,1.0,0.8642
mean_last_k,18,0.9351851851851852,4,0.9383,1.0,1.0,0.8025
mean_last_k,19,0.9753086419753086,4,1.0,1.0,1.0,0.9012
mean_last_k,20,0.9845679012345678,4,1.0,1.0,1.0,0.9383
mean_last_k,21,0.9259259259259259,4,0.8642,0.963,1.0,0.8765
mean_last_k,22,0.9074074074074074,4,0.8148,0.8642,1.0,0.9506
mean_last_k,23,0.9382716049382716,4,0.8642,0.9012,1.0,0.9877
mean_last_k,24,0.941358024691358,4,0.8889,0.8889,1.0,0.9877
mean_last_k,25,0.9598765432098766,4,0.9012,0.9506,1.0,0.9877
mean_last_k,26,0.9722222222222222,4,0.9383,0.963,1.0,0.9877
mean_last_k,27,0.9814814814814814,4,0.9383,0.9877,1.0,1.0
mean_last_k,28,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,29,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,30,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,31,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,32,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,33,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,34,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,35,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,36,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,37,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,38,1.0,4,1.0,1.0,1.0,1.0
mean_last_k,39,1.0,4,1.0,1.0,1.0,1.0
