position,layer,primary_sleeper_vs_c8,base_lexical_dirfree,within_sleeper,clean_gate
mean_last_k,45,1.0,1.0,1.0,False
mean_last_k,46,1.0,1.0,1.0,False
mean_last_k,47,1.0,1.0,1.0,False
mean_last_k,48,1.0,1.0,1.0,False
mean_last_k,49,1.0,1.0,1.0,False
mean_last_k,50,1.0,1.0,1.0,False
mean_last_k,51,1.0,1.0,1.0,False
mean_last_k,52,1.0,1.0,1.0,False
mean_last_k,53,1.0,1.0,1.0,False
mean_last_k,54,1.0,1.0,1.0,False
mean_last_k,55,1.0,1.0,1.0,False
mean_last_k,56,1.0,1.0,1.0,False
mean_last_k,57,1.0,1.0,1.0,False
mean_last_k,58,1.0,1.0,1.0,False
mean_last_k,59,1.0,1.0,1.0,False
mean_last_k,60,1.0,1.0,1.0,False
mean_last_k,61,1.0,1.0,1.0,False
mean_last_k,62,1.0,1.0,1.0,False
mean_last_k,63,1.0,1.0,1.0,False
mean_last_k,64,1.0,1.0,1.0,False
